DATE,T10YIE,T5YIFR
2012-11-16,2.39,2.77
2012-11-19,2.39,2.75
2012-11-20,2.4,2.75
2012-11-21,2.4,2.75
2012-11-22,,
2012-11-23,2.42,2.78
2012-11-26,2.39,2.74
2012-11-27,2.38,2.74
2012-11-28,2.38,2.77
2012-11-29,2.4,2.8
2012-11-30,2.41,2.81
2012-12-03,2.44,2.84
2012-12-04,2.45,2.86
2012-12-05,2.45,2.84
2012-12-06,2.46,2.86
2012-12-07,2.5,2.9
2012-12-10,2.5,2.95
2012-12-11,2.5,2.93
2012-12-12,2.51,2.9
2012-12-13,2.47,2.82
2012-12-14,2.46,2.81
2012-12-17,2.48,2.85
2012-12-18,2.51,2.88
2012-12-19,2.48,2.83
2012-12-20,2.5,2.84
2012-12-21,2.48,2.86
2012-12-24,2.48,2.83
2012-12-25,,
2012-12-26,2.48,2.85
2012-12-27,2.47,2.83
2012-12-28,2.46,2.86
2012-12-31,2.45,2.81
2013-01-01,,
2013-01-02,2.48,2.84
2013-01-03,2.46,2.81
2013-01-04,2.48,2.83
2013-01-07,2.52,2.88
2013-01-08,2.49,2.83
2013-01-09,2.52,2.86
2013-01-10,2.53,2.86
2013-01-11,2.52,2.86
2013-01-14,2.55,2.98
2013-01-15,2.52,2.84
2013-01-16,2.49,2.8
2013-01-17,2.53,2.87
2013-01-18,2.53,2.86
2013-01-21,,
2013-01-22,2.54,2.93
2013-01-23,2.52,2.83
2013-01-24,2.5,2.78
2013-01-25,2.54,2.87
2013-01-28,2.55,2.86
2013-01-29,2.56,2.85
2013-01-30,2.57,2.88
2013-01-31,2.59,2.85
2013-02-01,2.59,2.84
2013-02-04,2.59,2.86
2013-02-05,2.59,2.86
2013-02-06,2.58,2.84
2013-02-07,2.57,2.85
2013-02-08,2.56,2.91
2013-02-11,2.57,2.88
2013-02-12,2.59,2.98
2013-02-13,2.59,2.92
2013-02-14,2.56,2.9
2013-02-15,2.54,2.89
2013-02-18,,
2013-02-19,2.55,2.9
2013-02-20,2.54,2.89
2013-02-21,2.53,2.87
2013-02-22,2.54,2.88
2013-02-25,2.5,2.81
2013-02-26,2.5,2.82
2013-02-27,2.52,2.86
2013-02-28,2.53,2.88
2013-03-01,2.53,2.86
2013-03-04,2.53,2.84
2013-03-05,2.55,2.84
2013-03-06,2.56,2.85
2013-03-07,2.56,2.9
2013-03-08,2.56,2.94
2013-03-11,2.57,2.86
2013-03-12,2.55,2.83
2013-03-13,2.56,2.83
2013-03-14,2.57,2.83
2013-03-15,2.56,2.82
2013-03-18,2.56,2.86
2013-03-19,2.53,2.81
2013-03-20,2.53,2.81
2013-03-21,2.52,2.82
2013-03-22,2.53,2.83
2013-03-25,2.53,2.82
2013-03-26,2.53,2.85
2013-03-27,2.51,2.8
2013-03-28,2.51,2.78
2013-03-29,,
2013-04-01,2.51,2.79
2013-04-02,2.51,2.8
2013-04-03,2.48,2.78
2013-04-04,2.48,2.83
2013-04-05,2.46,2.82
2013-04-08,2.45,2.76
2013-04-09,2.45,2.84
2013-04-10,2.44,2.78
2013-04-11,2.47,2.82
2013-04-12,2.43,2.75
2013-04-15,2.41,2.8
2013-04-16,2.4,2.78
2013-04-17,2.37,2.76
2013-04-18,2.27,2.54
2013-04-19,2.32,2.6
2013-04-22,2.35,2.66
2013-04-23,2.38,2.72
2013-04-24,2.38,2.69
2013-04-25,2.4,2.68
2013-04-26,2.38,2.65
2013-04-29,2.37,2.64
2013-04-30,2.34,2.62
2013-05-01,2.3,2.62
2013-05-02,2.28,2.57
2013-05-03,2.31,2.59
2013-05-06,2.31,2.57
2013-05-07,2.32,2.59
2013-05-08,2.29,2.55
2013-05-09,2.31,2.6
2013-05-10,2.35,2.65
2013-05-13,2.33,2.64
2013-05-14,2.33,2.63
2013-05-15,2.3,2.59
2013-05-16,2.27,2.57
2013-05-17,2.26,2.54
2013-05-20,2.28,2.56
2013-05-21,2.28,2.57
2013-05-22,2.27,2.57
2013-05-23,2.26,2.59
2013-05-24,2.27,2.61
2013-05-27,,
2013-05-28,2.29,2.62
2013-05-29,2.23,2.55
2013-05-30,2.18,2.53
2013-05-31,2.21,2.55
2013-06-03,2.2,2.51
2013-06-04,2.19,2.46
2013-06-05,2.16,2.44
2013-06-06,2.13,2.39
2013-06-07,2.14,2.39
2013-06-10,2.11,2.37
